"",,,,,,,,,,,,,,,,,,,,,,,
Beef,,,,,,,,,,,,,,,,,,,,,,,
WHOPPER®,653,2741,30.5,51.5,11.8,35.4,18.2,5.8,9.8,3.4,1.043,5,5,4,4,5,5,5,5,4,5,4,5
Double WHOPPER®,894.3,3746,51.4,51.9,11.8,52.8,25.9,6.1,17.9,3.8,1.043,5,5,4,4,5,5,5,5,4,5,4,5
WHOPPER® Junior,344,1440,15.2,32.8,6.7,16.9,8.9,3.1,4.2,1.9,0.580,5,5,4,4,5,5,5,5,4,5,4,5
WHOPPER® Bacon & Cheese,765,3206,38.1,51.9,12.2,44.3,21.6,6.1,14.5,3.8,1.625,5,4,4,4,4,5,5,5,4,5,4,5
Steakhouse,732,3043,35.4,48.5,12.8,43.1,21.3,5,16.2,3,1.199,5,4,4,4,4,5,5,5,5,4,5,5
Steakhouse Double,955,3955,53.7,48.6,12.8,59.3,29.5,5.3,23.8,3,1.275,5,4,4,4,4,5,5,5,5,4,5,5
Angus** Classic,571,2731,37.2,42.1,9.4,36.6,E16n.e2rg,(k3c.9al),9.7,2.3,0.632,5,4,4,4,4,4,5,5,4,4,5,4
Angus** Smoked Bacon & Cheddar,682,3192,45.1,43.1,9.8,45.2,19.6,4.5,14,2.6,0.947,5,4,4,4,4,5,5,5,5,4,5,5
Angus** Classic Double,829,4140,65.7,42.2,9.4,61.6,25.7,4.2,18.3,2.3,0.75,5,5,4,4,4,5,5,5,5,4,5,5
Angus** Smoked Bacon & Cheddar Double,940,4602,73.5,43.2,9.8,70.2,29.1,4.8,22.6,2.6,1.065,5,4,4,4,4,5,5,5,5,4,5,5
Bacon Double Cheese,477,2081,31.5,34.2,8.7,25.8,11,1.5,11.7,2.3,1.054,5,4,4,4,4,4,5,5,4,4,4,5
Bacon Double Cheese XL,955,4001,63,52,12,54.8,P23ro.2tei,(g2).6,25.8,3.6,1.82,5,4,4,4,4,4,5,5,4,4,4,5
Big King,473,1976,26.9,32.3,6.6,25.9,12.2,2.8,9.4,2.1,0.796,5,4,4,4,4,5,5,5,4,4,4,5
Double Rodeo,503.5,2107,28,43.8,8.4,24.2,10.7,2,10.3,2.4,0.681,5,4,4,5,4,5,5,5,5,4,4,5
Double Cheeseburger,459.9,1924,29,33.1,6.9,23.8,9.9,1.2,11.1,2.1,0.979,5,4,4,4,4,4,5,5,4,4,4,5
Quarter Pound Cheeseburger,435.7,1830,20.9,49.8,11.8,17.2,4.2,1.6,7.5,2.5,1.361,5,4,4,4,4,4,5,5,4,4,4,5
Cheeseburger,315.6,1324,17.3,32.4,6.5,13.2,S5u.6ga,(g1).1,5.7,1.8,0.767,5,4,4,4,4,4,5,5,4,4,4,5
