,Carbohydrate (g),Energy (kJ),Energy (kcal),Energy kJ,Energy kcal,Fat,Fat (g),Fibre (g),Protein (g),Salt,Salt (g),Saturated Fat,Sugar,of which saturated (g),of which sugars (g)
Breakfast Wrap,53,2531,605,2531kJ,605kcal,31g,31,4.0,27,2.5g,2.5,10.0g,7.2g,10.0,7.2
Millionaire’s Latte,25,840,200,840kJ,200kcal,7.6g,7.6,0.2,7.9,0.26g,0.26,5.1g,23g,5.1,23
"Sausage, Egg & Cheese Bagel",46,2353,562,2353kJ,562kcal,28g,28,3.5,30,2.7g,2.7,11g,6.6g,11,6.6
"Bacon, Egg & Cheese Bagel",46,2012,480,2012kJ,480kcal,21g,21,3.1,26,2.2g,2.2,8.8g,6.1g,8.8,6.1
Sausage & Egg McMuffin®,27,1797,430,1797kJ,430kcal,24g,24,2.1,26,1.9g,1.9,8.5g,2.7g,8.5,2.7
Bacon & Egg McMuffin®,27,1456,348,1456kJ,348kcal,17g,17,1.8,21,1.4g,1.4,6.1g,2.1g,6.1,2.1
Double Sausage & Egg McMuffin®,28,2358,565,2358kJ,565kcal,34g,34,2.5,36,2.7g,2.7,12g,3.2g,12,3.2
Double Bacon & Egg McMuffin®,27,1676,401,1676kJ,401kcal,20g,20,1.8,27,1.8g,1.8,7.3g,2.2g,7.3,2.2
Egg & Cheese McMuffin®,27,1236,295,1236kJ,295kcal,13g,13,1.8,16,1.1g,1.1,4.8g,2.1g,4.8,2.1
Pancakes & Syrup,95,2019,477,2019kJ,477kcal,5.6g,5.6,2.3,10,1.5g,1.5,0.9g,41g,0.9,41
Pancakes & Sausage with Syrup,96,2580,612,2580kJ,612kcal,16g,16,2.6,20,2.3g,2.3,4.6g,41g,4.6,41
Bacon Roll,43,1345,319,1345kJ,319kcal,8.4g,8.4,1.3,18,1.5g,1.5,2.7g,7.0g,2.7,7.0
Quaker Oat So Simple®,26,817,194,817kJ,194kcal,5.3g,5.3,1.9,9.6,0.20g,0.20,2.4g,9.2g,2.4,9.2
Quaker Oat So Simple® Apple & Cherry Porridge,33,961,228,961kJ,228kcal,5.5g,5.5,2.7,9.7,0.23g,0.23,2.5g,17g,2.5,17
Toasted Bagel,41,916,216,916kJ,216kcal,1.2g,1.2,2.9,8.8,0.78g,0.78,0.2g,3.9g,0.2,3.9
